timestamp,elapsed_s,condition,pss_kb,cpu_pct_one_core
2026-07-14T12:31:31,1.7,dim_empty,767192,406
2026-07-14T12:31:34,3.9,dim_empty,761644,420
2026-07-14T12:31:36,6.1,dim_empty,780192,548
2026-07-14T12:31:38,8.2,dim_empty,766312,456
2026-07-14T12:31:40,10.3,dim_empty,773344,413
2026-07-14T12:31:42,12.5,dim_empty,764668,450
2026-07-14T12:31:44,14.5,dim_empty,769364,537
2026-07-14T12:31:46,16.5,dim_empty,764660,555
2026-07-14T12:31:48,18.6,dim_empty,759540,446
2026-07-14T12:31:50,20.7,dim_empty,768951,456
2026-07-14T12:31:53,22.9,dim_empty,770199,351
2026-07-14T12:31:55,25.1,dim_empty,711975,458
2026-07-14T12:31:57,27.2,dim_empty,771375,407
2026-07-14T12:31:59,29.3,dim_empty,795411,389
2026-07-14T12:32:01,31.6,dim_empty,772311,417
2026-07-14T12:32:03,33.5,dim_empty,768839,372
2026-07-14T12:32:05,35.8,dim_empty,711971,413
2026-07-14T12:32:08,37.9,dim_empty,762879,434
2026-07-14T12:32:10,40.2,dim_empty,773483,481
2026-07-14T12:32:12,42.2,dim_empty,778071,544
2026-07-14T12:32:14,44.4,dim_empty,727810,479
2026-07-14T12:32:16,46.6,dim_empty,770814,448
2026-07-14T12:32:18,48.8,dim_empty,783474,396
