run,preprocess_ms,infer_ms,total_ms
1,8,31,39
2,5,27,32
3,9,21,30
4,7,24,31
5,9,26,35
6,5,29,34
7,6,32,38
8,5,29,34
9,5,19,24
10,6,23,29
11,6,24,30
12,5,19,24
13,5,41,46
14,6,18,24
15,8,27,35
16,6,20,26
17,6,30,36
18,5,26,31
19,5,22,27
20,5,18,23

percentile,preprocess_ms,infer_ms,total_ms
p50,6,26,31
p95,9,32,39
p99,9,41,46
