run,preprocess_ms,infer_ms,total_ms
1,11,48,59
2,29,41,70
3,10,34,44
4,12,50,62
5,13,44,57
6,14,43,57
7,11,34,45
8,11,34,45
9,8,49,57
10,9,31,40
11,8,42,50
12,8,27,35
13,11,40,51
14,8,44,52
15,7,32,39
16,12,35,47
17,7,37,44
18,10,26,36
19,13,42,55
20,9,30,39

percentile,preprocess_ms,infer_ms,total_ms
p50,11,40,50
p95,14,49,62
p99,29,50,70
