run,preprocess_ms,infer_ms,total_ms
1,6,60,66
2,10,71,81
3,12,41,53
4,8,29,37
5,8,25,33
6,8,31,39
7,7,29,36
8,9,36,45
9,12,20,32
10,7,27,34
11,8,28,36
12,7,32,39
13,10,40,50
14,12,46,58
15,10,71,81
16,11,39,50
17,8,35,43
18,7,36,43
19,8,30,38
20,17,56,73

percentile,preprocess_ms,infer_ms,total_ms
p50,8,36,43
p95,12,71,81
p99,17,71,81
