run,preprocess_ms,infer_ms,total_ms
1,6,36,42
2,6,33,39
3,7,35,42
4,7,26,33
5,9,38,47
6,6,31,37
7,7,57,64
8,6,43,49
9,6,24,30
10,6,39,45
11,6,24,30
12,6,37,43
13,7,30,37
14,15,46,61
15,6,40,46
16,6,20,26
17,6,43,49
18,6,25,31
19,6,28,34
20,6,30,36

percentile,preprocess_ms,infer_ms,total_ms
p50,6,35,42
p95,9,46,61
p99,15,57,64
